entity_type,entity_value,count
PER,Pumpkin,1
PER,Quiet One,1
PER,Ralph Brown,1
PER,Ray,1
PER,Ray Rice,1
PER,Raytown,1
PER,Reggie Wayne,1
PER,Renee Gardner,1
PER,Rex Purefoy,1
PER,Rice,1
PER,Rich Mccauley,1
PER,Rick Davis,1
PER,Robert Griffin Iii,1
PER,Romo,1
PER,Ron Winfrey,1
PER,Roosevelt,1
PER,Roy Walker,1
PER,Russell,1
PER,Ruth Brown,1
PER,S Gentleman,1
PER,Sam Cooke,1
PER,Sander Martin,1
PER,Sanders Martin,1
PER,Santa Claus,1
PER,Sarah Rector,1
PER,Scrooge,1
PER,Sean Payton,1
PER,Sean Smith,1
PER,Shanahan,1
PER,Shelley,1
PER,Shelly,1
PER,Singletary Factor,1
PER,Smith-To-Davis,1
PER,Sonny Thompson,1
PER,Suh,1
PER,Sweet Pea,1
PER,Tee,1
PER,Terrell Davis,1
PER,Terrell Pryor,1
PER,That Booker,1
PER,The,1
PER,Tia,1
PER,Tina Turner,1
PER,Todd,1
PER,Tom Brown,1
PER,Tony,1
PER,Tony Dungy,1
PER,Tracy Porter,1
PER,Trent Green,1
PER,Tyler Thigpen,1
PER,Tyrant,1
PER,Uncle Cantank,1
PER,Vermeil,1
PER,Vick,1
PER,Vicki Frazier,1
PER,Warnereric Wesson,1
PER,Warren Dunn,1
PER,Waters,1
PER,Way Ike,1
PER,Weis,1
PER,Will Shields,1
PER,William Shakespeare,1
PER,Willie Lanier,1
PER,Willie Roaf,1
